Country,Year,Sub_commodity,Export/Import,Quantity in metric tons,Trade Value in 1000 USD
Algeria,2010,titanium ores and concentrates,Import,44,81
Algeria,2011,titanium ores and concentrates,Import,27,82
Algeria,2012,titanium ores and concentrates,Import,0,0
Algeria,2013,titanium ores and concentrates,Import,46,117
Algeria,2014,titanium ores and concentrates,Import,0,0
Algeria,2015,titanium ores and concentrates,Import,476,319
Algeria,2016,titanium ores and concentrates,Import,0,0
Algeria,2017,titanium ores and concentrates,Import,666,352
Algeria,2018,titanium ores and concentrates,Import,0,0
Algeria,2019,titanium ores and concentrates,Import,0,0
Algeria,2020,titanium ores and concentrates,Import,0,0
Algeria,2021,titanium ores and concentrates,Import,0,0
Algeria,2022,titanium ores and concentrates,Import,0,0
Algeria,2023,titanium ores and concentrates,Import,0,0
Argentina,1992,titanium ores and concentrates,Export,0,0
Argentina,1993,titanium ores and concentrates,Export,0,0
Argentina,1994,titanium ores and concentrates,Export,0,0
Argentina,1995,titanium ores and concentrates,Export,2,3
Argentina,1996,titanium ores and concentrates,Export,0,0
Argentina,1997,titanium ores and concentrates,Export,0,0
Argentina,1998,titanium ores and concentrates,Export,0,0
Argentina,1999,titanium ores and concentrates,Export,0,0
Argentina,2000,titanium ores and concentrates,Export,0,0
Argentina,2001,titanium ores and concentrates,Export,0,0
Argentina,2002,titanium ores and concentrates,Export,0,0
Argentina,2003,titanium ores and concentrates,Export,0,0
Argentina,2004,titanium ores and concentrates,Export,0,0
Argentina,2005,titanium ores and concentrates,Export,0,0
Argentina,2006,titanium ores and concentrates,Export,0,3
Argentina,2007,titanium ores and concentrates,Export,0,0
Argentina,2008,titanium ores and concentrates,Export,0,0
Argentina,2009,titanium ores and concentrates,Export,0,0
Argentina,2010,titanium ores and concentrates,Export,0,0
Argentina,2011,titanium ores and concentrates,Export,0,0
Argentina,2012,titanium ores and concentrates,Export,0,0
Argentina,2013,titanium ores and concentrates,Export,1,1
Argentina,2014,titanium ores and concentrates,Export,100,112
Argentina,2015,titanium ores and concentrates,Export,0,0
Argentina,2016,titanium ores and concentrates,Export,0,0
Argentina,2017,titanium ores and concentrates,Export,10,12
Argentina,2018,titanium ores and concentrates,Export,0,0
Argentina,2019,titanium ores and concentrates,Export,0,0
Argentina,2020,titanium ores and concentrates,Export,0,0
Argentina,2021,titanium ores and concentrates,Export,0,0
Argentina,2022,titanium ores and concentrates,Export,0,0
Argentina,2023,titanium ores and concentrates,Export,0,0
Argentina,1992,titanium ores and concentrates,Import,0,0
Argentina,1993,titanium ores and concentrates,Import,1772,703
Argentina,1994,titanium ores and concentrates,Import,2204,895
Argentina,1995,titanium ores and concentrates,Import,1478,768
Argentina,1996,titanium ores and concentrates,Import,2061,1643
Argentina,1997,titanium ores and concentrates,Import,1948,1315
Argentina,1998,titanium ores and concentrates,Import,2321,1443
Argentina,1999,titanium ores and concentrates,Import,N/A,1299
Argentina,2000,titanium ores and concentrates,Import,1543,665
Argentina,2001,titanium ores and concentrates,Import,1323,548
Argentina,2002,titanium ores and concentrates,Import,1106,457
Argentina,2003,titanium ores and concentrates,Import,1574,618
Argentina,2004,titanium ores and concentrates,Import,1818,825
Argentina,2005,titanium ores and concentrates,Import,1690,857
Argentina,2006,titanium ores and concentrates,Import,2172,1173
Argentina,2007,titanium ores and concentrates,Import,1960,1190
Argentina,2008,titanium ores and concentrates,Import,1747,1249
Argentina,2009,titanium ores and concentrates,Import,1629,1292
Argentina,2010,titanium ores and concentrates,Import,2105,1520
Argentina,2011,titanium ores and concentrates,Import,2151,2702
Argentina,2012,titanium ores and concentrates,Import,1846,5444
Argentina,2013,titanium ores and concentrates,Import,2190,3365
Argentina,2014,titanium ores and concentrates,Import,10571,3399
Argentina,2015,titanium ores and concentrates,Import,1694,1626
Argentina,2016,titanium ores and concentrates,Import,1788,1431
Argentina,2017,titanium ores and concentrates,Import,1959,1346
Argentina,2018,titanium ores and concentrates,Import,1570,1371
Argentina,2019,titanium ores and concentrates,Import,1323,1542
Argentina,2020,titanium ores and concentrates,Import,1371,1886
Argentina,2021,titanium ores and concentrates,Import,1750,2669
Argentina,2022,titanium ores and concentrates,Import,1757,4348
Argentina,2023,titanium ores and concentrates,Import,632,1660
Armenia,1992,titanium ores and concentrates,Export,0,0
Armenia,1993,titanium ores and concentrates,Export,0,0
Armenia,1994,titanium ores and concentrates,Export,0,0
Armenia,1995,titanium ores and concentrates,Export,0,0
Armenia,1996,titanium ores and concentrates,Export,0,0
Armenia,1997,titanium ores and concentrates,Export,0,0
Armenia,1998,titanium ores and concentrates,Export,0,0
Armenia,1999,titanium ores and concentrates,Export,0,0
Armenia,2000,titanium ores and concentrates,Export,0,0
Armenia,2001,titanium ores and concentrates,Export,0,0
Armenia,2002,titanium ores and concentrates,Export,0,0
Armenia,2003,titanium ores and concentrates,Export,0,0
Armenia,2004,titanium ores and concentrates,Export,0,0
Armenia,2005,titanium ores and concentrates,Export,0,0
Armenia,2006,titanium ores and concentrates,Export,0,0
Armenia,2007,titanium ores and concentrates,Export,0,0
Armenia,2008,titanium ores and concentrates,Export,0,0
Armenia,2009,titanium ores and concentrates,Export,0,0
Armenia,2010,titanium ores and concentrates,Export,1954,1460
Armenia,2011,titanium ores and concentrates,Export,2503,1689
Armenia,2012,titanium ores and concentrates,Export,0,0
Armenia,2013,titanium ores and concentrates,Export,0,0
Armenia,2014,titanium ores and concentrates,Export,0,0
Armenia,2015,titanium ores and concentrates,Export,0,0
Armenia,2016,titanium ores and concentrates,Export,0,0
Armenia,2017,titanium ores and concentrates,Export,0,0
Armenia,2018,titanium ores and concentrates,Export,0,0
Armenia,2019,titanium ores and concentrates,Export,0,0
Armenia,2020,titanium ores and concentrates,Export,0,0
Armenia,2021,titanium ores and concentrates,Export,0,0
Armenia,2022,titanium ores and concentrates,Export,0,0
Armenia,2023,titanium ores and concentrates,Export,0,0
Armenia,1992,titanium ores and concentrates,Import,0,0
Armenia,1993,titanium ores and concentrates,Import,0,0
Armenia,1994,titanium ores and concentrates,Import,0,0
Armenia,1995,titanium ores and concentrates,Import,0,0
Armenia,1996,titanium ores and concentrates,Import,0,0
Armenia,1997,titanium ores and concentrates,Import,0,0
Armenia,1998,titanium ores and concentrates,Import,0,0
Armenia,1999,titanium ores and concentrates,Import,0,0
Armenia,2000,titanium ores and concentrates,Import,0,0
Armenia,2001,titanium ores and concentrates,Import,0,0
Armenia,2002,titanium ores and concentrates,Import,0,0
Armenia,2003,titanium ores and concentrates,Import,0,0
Armenia,2004,titanium ores and concentrates,Import,0,0
Armenia,2005,titanium ores and concentrates,Import,378,78
Armenia,2006,titanium ores and concentrates,Import,6916,3698
Armenia,2007,titanium ores and concentrates,Import,2572,886
Armenia,2008,titanium ores and concentrates,Import,0,0
Armenia,2009,titanium ores and concentrates,Import,0,0
Armenia,2010,titanium ores and concentrates,Import,0,0
Armenia,2011,titanium ores and concentrates,Import,0,0
Armenia,2012,titanium ores and concentrates,Import,0,0
Armenia,2013,titanium ores and concentrates,Import,0,0
Armenia,2014,titanium ores and concentrates,Import,0,0
Armenia,2015,titanium ores and concentrates,Import,0,0
Armenia,2016,titanium ores and concentrates,Import,0,0
Armenia,2017,titanium ores and concentrates,Import,0,0
Armenia,2018,titanium ores and concentrates,Import,0,0
Armenia,2019,titanium ores and concentrates,Import,0,0
Armenia,2020,titanium ores and concentrates,Import,0,0
Armenia,2021,titanium ores and concentrates,Import,0,0
Armenia,2022,titanium ores and concentrates,Import,0,0
Armenia,2023,titanium ores and concentrates,Import,0,0
Australia,1992,titanium ores and concentrates,Export,1158020,142453
Australia,1993,titanium ores and concentrates,Export,1156430,124632
Australia,1994,titanium ores and concentrates,Export,1312540,154368
Australia,1995,titanium ores and concentrates,Export,1315480,176965
Australia,1996,titanium ores and concentrates,Export,1260650,196187
Australia,1997,titanium ores and concentrates,Export,1591930,225154
Australia,1998,titanium ores and concentrates,Export,1525280,206793
Australia,1999,titanium ores and concentrates,Export,1187030,146722
Australia,2000,titanium ores and concentrates,Export,1214390,110870
Australia,2001,titanium ores and concentrates,Export,897876,83465
Australia,2002,titanium ores and concentrates,Export,1046130,99110
Australia,2003,titanium ores and concentrates,Export,1009630,101682
Australia,2004,titanium ores and concentrates,Export,887076,92497
Australia,2005,titanium ores and concentrates,Export,840587,96640
Australia,2006,titanium ores and concentrates,Export,1021250,117861
Australia,2007,titanium ores and concentrates,Export,822486,122258
Australia,2008,titanium ores and concentrates,Export,92770,60333
Australia,2009,titanium ores and concentrates,Export,60963,49126
Australia,2010,titanium ores and concentrates,Export,54551,44409
Australia,2011,titanium ores and concentrates,Export,75624,87163
Australia,2012,titanium ores and concentrates,Export,58725,135788
Australia,2013,titanium ores and concentrates,Export,106865,87965
Australia,2014,titanium ores and concentrates,Export,94435,67946
Australia,2015,titanium ores and concentrates,Export,142032,83021
Australia,2016,titanium ores and concentrates,Export,135190,64419
Australia,2017,titanium ores and concentrates,Export,179257,87060
Australia,2018,titanium ores and concentrates,Export,143080,76437
Australia,2019,titanium ores and concentrates,Export,129235,87715
Australia,2020,titanium ores and concentrates,Export,151874,79137
Australia,2021,titanium ores and concentrates,Export,95984,58998
Australia,2022,titanium ores and concentrates,Export,98004,62625
Australia,2023,titanium ores and concentrates,Export,86878,43987
Australia,1992,titanium ores and concentrates,Import,22,37
Australia,1993,titanium ores and concentrates,Import,1174,1153
Australia,1994,titanium ores and concentrates,Import,22645,7131
Australia,1995,titanium ores and concentrates,Import,1213,1007
Australia,1996,titanium ores and concentrates,Import,419,537
Australia,1997,titanium ores and concentrates,Import,299,286
Australia,1998,titanium ores and concentrates,Import,15620,1322
Australia,1999,titanium ores and concentrates,Import,22,25
Australia,2000,titanium ores and concentrates,Import,86,100
Australia,2001,titanium ores and concentrates,Import,38,46
Australia,2002,titanium ores and concentrates,Import,25035,2610
Australia,2003,titanium ores and concentrates,Import,40403,8560
Australia,2004,titanium ores and concentrates,Import,17315,2286
Australia,2005,titanium ores and concentrates,Import,21409,3459
Australia,2006,titanium ores and concentrates,Import,26322,4999
Australia,2007,titanium ores and concentrates,Import,9447,2726
Australia,2008,titanium ores and concentrates,Import,596,788
Australia,2009,titanium ores and concentrates,Import,20577,3108
Australia,2010,titanium ores and concentrates,Import,25210,4050
Australia,2011,titanium ores and concentrates,Import,74018,14062
Australia,2012,titanium ores and concentrates,Import,32990,11710
Australia,2013,titanium ores and concentrates,Import,52874,23248
Australia,2014,titanium ores and concentrates,Import,308,662
Australia,2015,titanium ores and concentrates,Import,108949,11558
Australia,2016,titanium ores and concentrates,Import,348,606
Australia,2017,titanium ores and concentrates,Import,53072,17753
Australia,2018,titanium ores and concentrates,Import,123713,31928
Australia,2019,titanium ores and concentrates,Import,46416,11784
Australia,2020,titanium ores and concentrates,Import,82,76
Australia,2021,titanium ores and concentrates,Import,45,63
Australia,2022,titanium ores and concentrates,Import,N/A,97
Australia,2023,titanium ores and concentrates,Import,87,88
Austria,1992,titanium ores and concentrates,Export,0,0
Austria,1993,titanium ores and concentrates,Export,0,0
Austria,1994,titanium ores and concentrates,Export,174,58
Austria,1995,titanium ores and concentrates,Export,24,21
Austria,1996,titanium ores and concentrates,Export,5,1
Austria,1997,titanium ores and concentrates,Export,0,0
Austria,1998,titanium ores and concentrates,Export,0,0
Austria,1999,titanium ores and concentrates,Export,0,0
Austria,2000,titanium ores and concentrates,Export,0,0
Austria,2001,titanium ores and concentrates,Export,0,1
Austria,2002,titanium ores and concentrates,Export,0,0
Austria,2003,titanium ores and concentrates,Export,0,0
Austria,2004,titanium ores and concentrates,Export,0,0
Austria,2005,titanium ores and concentrates,Export,0,0
Austria,2006,titanium ores and concentrates,Export,0,0
Austria,2007,titanium ores and concentrates,Export,3,4
Austria,2008,titanium ores and concentrates,Export,1,2
Austria,2009,titanium ores and concentrates,Export,0,0
Austria,2010,titanium ores and concentrates,Export,4,4
Austria,2011,titanium ores and concentrates,Export,3,6
Austria,2012,titanium ores and concentrates,Export,7,24
Austria,2013,titanium ores and concentrates,Export,13,31
Austria,2014,titanium ores and concentrates,Export,4,8
Austria,2015,titanium ores and concentrates,Export,0,0
Austria,2016,titanium ores and concentrates,Export,3,4
Austria,2017,titanium ores and concentrates,Export,0,0
Austria,2018,titanium ores and concentrates,Export,1,2
Austria,2019,titanium ores and concentrates,Export,0,0
Austria,2020,titanium ores and concentrates,Export,1,6
Austria,2021,titanium ores and concentrates,Export,4,16
Austria,2022,titanium ores and concentrates,Export,8,37
Austria,2023,titanium ores and concentrates,Export,4,25
Austria,1992,titanium ores and concentrates,Import,0,0
Austria,1993,titanium ores and concentrates,Import,0,0
Austria,1994,titanium ores and concentrates,Import,847,413
Austria,1995,titanium ores and concentrates,Import,260,198
Austria,1996,titanium ores and concentrates,Import,328,346
Austria,1997,titanium ores and concentrates,Import,486,350
Austria,1998,titanium ores and concentrates,Import,631,406
Austria,1999,titanium ores and concentrates,Import,104,63
Austria,2000,titanium ores and concentrates,Import,631,275
Austria,2001,titanium ores and concentrates,Import,518,259
Austria,2002,titanium ores and concentrates,Import,522,297
Austria,2003,titanium ores and concentrates,Import,673,410
Austria,2004,titanium ores and concentrates,Import,494,321
Austria,2005,titanium ores and concentrates,Import,349,265
Austria,2006,titanium ores and concentrates,Import,575,449
Austria,2007,titanium ores and concentrates,Import,451,380
Austria,2008,titanium ores and concentrates,Import,498,599
Austria,2009,titanium ores and concentrates,Import,362,396
Austria,2010,titanium ores and concentrates,Import,477,424
Austria,2011,titanium ores and concentrates,Import,580,557
Austria,2012,titanium ores and concentrates,Import,284,539
Austria,2013,titanium ores and concentrates,Import,432,958
Austria,2014,titanium ores and concentrates,Import,388,517
Austria,2015,titanium ores and concentrates,Import,475,538
Austria,2016,titanium ores and concentrates,Import,364,364
Austria,2017,titanium ores and concentrates,Import,828,855
Austria,2018,titanium ores and concentrates,Import,884,1190
Austria,2019,titanium ores and concentrates,Import,1033,1403
Austria,2020,titanium ores and concentrates,Import,707,1012
Austria,2021,titanium ores and concentrates,Import,934,1496
Austria,2022,titanium ores and concentrates,Import,589,1121
Austria,2023,titanium ores and concentrates,Import,126,514
Azerbaijan,1992,titanium ores and concentrates,Export,0,0
Azerbaijan,1993,titanium ores and concentrates,Export,0,0
Azerbaijan,1994,titanium ores and concentrates,Export,0,0
Azerbaijan,1995,titanium ores and concentrates,Export,0,0
Azerbaijan,1996,titanium ores and concentrates,Export,0,0
Azerbaijan,1997,titanium ores and concentrates,Export,0,0
Azerbaijan,1998,titanium ores and concentrates,Export,0,0
Azerbaijan,1999,titanium ores and concentrates,Export,0,0
Azerbaijan,2000,titanium ores and concentrates,Export,0,0
Azerbaijan,2001,titanium ores and concentrates,Export,0,0
Azerbaijan,2002,titanium ores and concentrates,Export,0,0
Azerbaijan,2003,titanium ores and concentrates,Export,0,0
Azerbaijan,2004,titanium ores and concentrates,Export,0,0
Azerbaijan,2005,titanium ores and concentrates,Export,0,0
Azerbaijan,2006,titanium ores and concentrates,Export,0,0
Azerbaijan,2007,titanium ores and concentrates,Export,0,0
Azerbaijan,2008,titanium ores and concentrates,Export,0,0
Azerbaijan,2009,titanium ores and concentrates,Export,0,0
Azerbaijan,2010,titanium ores and concentrates,Export,0,0
Azerbaijan,2011,titanium ores and concentrates,Export,0,0
Azerbaijan,2012,titanium ores and concentrates,Export,0,0
Azerbaijan,2013,titanium ores and concentrates,Export,0,0
Azerbaijan,2014,titanium ores and concentrates,Export,0,0
Azerbaijan,2015,titanium ores and concentrates,Export,0,0
Azerbaijan,2016,titanium ores and concentrates,Export,0,0
Azerbaijan,2017,titanium ores and concentrates,Export,0,0
Azerbaijan,2018,titanium ores and concentrates,Export,0,0
Azerbaijan,2019,titanium ores and concentrates,Export,0,0
Azerbaijan,2020,titanium ores and concentrates,Export,0,0
Azerbaijan,2021,titanium ores and concentrates,Export,0,0
Azerbaijan,2022,titanium ores and concentrates,Export,0,0
Azerbaijan,2023,titanium ores and concentrates,Export,0,0
Azerbaijan,1992,titanium ores and concentrates,Import,0,0
Azerbaijan,1993,titanium ores and concentrates,Import,0,0
Azerbaijan,1994,titanium ores and concentrates,Import,0,0
Azerbaijan,1995,titanium ores and concentrates,Import,0,0
Azerbaijan,1996,titanium ores and concentrates,Import,0,0
Azerbaijan,1997,titanium ores and concentrates,Import,0,0
Azerbaijan,1998,titanium ores and concentrates,Import,0,0
Azerbaijan,1999,titanium ores and concentrates,Import,71,1
Azerbaijan,2000,titanium ores and concentrates,Import,0,0
Azerbaijan,2001,titanium ores and concentrates,Import,0,0
Azerbaijan,2002,titanium ores and concentrates,Import,0,0
Azerbaijan,2003,titanium ores and concentrates,Import,0,0
Azerbaijan,2004,titanium ores and concentrates,Import,0,0
Azerbaijan,2005,titanium ores and concentrates,Import,0,0
Azerbaijan,2006,titanium ores and concentrates,Import,134,48
Azerbaijan,2007,titanium ores and concentrates,Import,116,92
Azerbaijan,2008,titanium ores and concentrates,Import,257,144
Azerbaijan,2009,titanium ores and concentrates,Import,0,0
Azerbaijan,2010,titanium ores and concentrates,Import,0,0
Azerbaijan,2011,titanium ores and concentrates,Import,0,0
Azerbaijan,2012,titanium ores and concentrates,Import,65,302
Azerbaijan,2013,titanium ores and concentrates,Import,0,0
Azerbaijan,2014,titanium ores and concentrates,Import,0,0
Azerbaijan,2015,titanium ores and concentrates,Import,0,0
Azerbaijan,2016,titanium ores and concentrates,Import,1,5
Azerbaijan,2017,titanium ores and concentrates,Import,0,0
Azerbaijan,2018,titanium ores and concentrates,Import,3,5
Azerbaijan,2019,titanium ores and concentrates,Import,0,0
Azerbaijan,2020,titanium ores and concentrates,Import,0,0
Azerbaijan,2021,titanium ores and concentrates,Import,48,96
Azerbaijan,2022,titanium ores and concentrates,Import,20,46
Azerbaijan,2023,titanium ores and concentrates,Import,0,0
Bahrain,1992,titanium ores and concentrates,Export,0,0
Bahrain,1993,titanium ores and concentrates,Export,0,0
Bahrain,1994,titanium ores and concentrates,Export,0,0
Bahrain,1995,titanium ores and concentrates,Export,0,0
Bahrain,1996,titanium ores and concentrates,Export,0,0
Bahrain,1997,titanium ores and concentrates,Export,0,0
Bahrain,1998,titanium ores and concentrates,Export,0,0
Bahrain,1999,titanium ores and concentrates,Export,0,0
Bahrain,2000,titanium ores and concentrates,Export,0,0
Bahrain,2001,titanium ores and concentrates,Export,0,0
Bahrain,2002,titanium ores and concentrates,Export,0,0
Bahrain,2003,titanium ores and concentrates,Export,0,0
Bahrain,2004,titanium ores and concentrates,Export,0,0
Bahrain,2005,titanium ores and concentrates,Export,0,0
Bahrain,2006,titanium ores and concentrates,Export,0,0
Bahrain,2007,titanium ores and concentrates,Export,0,0
Bahrain,2008,titanium ores and concentrates,Export,0,0
Bahrain,2009,titanium ores and concentrates,Export,0,0
Bahrain,2010,titanium ores and concentrates,Export,0,0
Bahrain,2011,titanium ores and concentrates,Export,0,0
Bahrain,2012,titanium ores and concentrates,Export,0,0
Bahrain,2013,titanium ores and concentrates,Export,0,0
Bahrain,2014,titanium ores and concentrates,Export,0,0
Bahrain,2015,titanium ores and concentrates,Export,0,0
Bahrain,2016,titanium ores and concentrates,Export,0,0
Bahrain,2017,titanium ores and concentrates,Export,0,0
Bahrain,2018,titanium ores and concentrates,Export,0,0
Bahrain,2019,titanium ores and concentrates,Export,0,0
Bahrain,2020,titanium ores and concentrates,Export,0,0
Bahrain,2021,titanium ores and concentrates,Export,0,0
Bahrain,2022,titanium ores and concentrates,Export,0,0
Bahrain,2023,titanium ores and concentrates,Export,0,0
Bahrain,1992,titanium ores and concentrates,Import,0,0
Bahrain,1993,titanium ores and concentrates,Import,0,0
Bahrain,1994,titanium ores and concentrates,Import,0,0
Bahrain,1995,titanium ores and concentrates,Import,0,0
Bahrain,1996,titanium ores and concentrates,Import,0,0
Bahrain,1997,titanium ores and concentrates,Import,0,0
Bahrain,1998,titanium ores and concentrates,Import,0,0
Bahrain,1999,titanium ores and concentrates,Import,0,0
Bahrain,2000,titanium ores and concentrates,Import,73,216
Bahrain,2001,titanium ores and concentrates,Import,141,447
Bahrain,2002,titanium ores and concentrates,Import,181,484
Bahrain,2003,titanium ores and concentrates,Import,402,1237
Bahrain,2004,titanium ores and concentrates,Import,421,1242
Bahrain,2005,titanium ores and concentrates,Import,201,805
Bahrain,2006,titanium ores and concentrates,Import,405,1448
Bahrain,2007,titanium ores and concentrates,Import,167,835
Bahrain,2008,titanium ores and concentrates,Import,0,0
Bahrain,2009,titanium ores and concentrates,Import,0,0
Bahrain,2010,titanium ores and concentrates,Import,0,0
Bahrain,2011,titanium ores and concentrates,Import,30,235
Bahrain,2012,titanium ores and concentrates,Import,90,916
Bahrain,2013,titanium ores and concentrates,Import,30,219
Bahrain,2014,titanium ores and concentrates,Import,52,368
Bahrain,2015,titanium ores and concentrates,Import,303,1678
Bahrain,2016,titanium ores and concentrates,Import,N/A,736
Bahrain,2017,titanium ores and concentrates,Import,361,1807
Bahrain,2018,titanium ores and concentrates,Import,264,1376
Bahrain,2019,titanium ores and concentrates,Import,400,2539
Bahrain,2020,titanium ores and concentrates,Import,190,963
Bahrain,2021,titanium ores and concentrates,Import,528,2765
Bahrain,2022,titanium ores and concentrates,Import,486,3048
Bahrain,2023,titanium ores and concentrates,Import,2462,3742
Bangladesh,1992,titanium ores and concentrates,Export,0,0
Bangladesh,1993,titanium ores and concentrates,Export,0,0
Bangladesh,1994,titanium ores and concentrates,Export,0,0
Bangladesh,1995,titanium ores and concentrates,Export,0,0
Bangladesh,1996,titanium ores and concentrates,Export,0,0
Bangladesh,1997,titanium ores and concentrates,Export,0,0
Bangladesh,1998,titanium ores and concentrates,Export,0,0
Bangladesh,1999,titanium ores and concentrates,Export,0,0
Bangladesh,2000,titanium ores and concentrates,Export,0,0
Bangladesh,2001,titanium ores and concentrates,Export,0,0
Bangladesh,2002,titanium ores and concentrates,Export,0,0
Bangladesh,2003,titanium ores and concentrates,Export,0,0
Bangladesh,2004,titanium ores and concentrates,Export,0,0
Bangladesh,2005,titanium ores and concentrates,Export,0,0
Bangladesh,2006,titanium ores and concentrates,Export,0,0
Bangladesh,2007,titanium ores and concentrates,Export,0,0
Bangladesh,2008,titanium ores and concentrates,Export,0,0
Bangladesh,2009,titanium ores and concentrates,Export,0,0
Bangladesh,2010,titanium ores and concentrates,Export,0,0
Bangladesh,2011,titanium ores and concentrates,Export,0,0
Bangladesh,2012,titanium ores and concentrates,Export,0,0
Bangladesh,2013,titanium ores and concentrates,Export,0,0
Bangladesh,2014,titanium ores and concentrates,Export,0,0
Bangladesh,2015,titanium ores and concentrates,Export,0,0
Bangladesh,2016,titanium ores and concentrates,Export,0,0
Bangladesh,2017,titanium ores and concentrates,Export,0,0
Bangladesh,2018,titanium ores and concentrates,Export,0,0
Bangladesh,2019,titanium ores and concentrates,Export,0,0
Bangladesh,2020,titanium ores and concentrates,Export,0,0
Bangladesh,2021,titanium ores and concentrates,Export,0,0
Bangladesh,2022,titanium ores and concentrates,Export,0,0
Bangladesh,2023,titanium ores and concentrates,Export,0,0
Bangladesh,1992,titanium ores and concentrates,Import,120,83
Bangladesh,1993,titanium ores and concentrates,Import,161,90
Bangladesh,1994,titanium ores and concentrates,Import,0,0
Bangladesh,1995,titanium ores and concentrates,Import,253,140
Bangladesh,1996,titanium ores and concentrates,Import,359,350
Bangladesh,1997,titanium ores and concentrates,Import,70790,668
Bangladesh,1998,titanium ores and concentrates,Import,1266,498
Bangladesh,1999,titanium ores and concentrates,Import,0,0
Bangladesh,2000,titanium ores and concentrates,Import,1831,663
Bangladesh,2001,titanium ores and concentrates,Import,1289,447
Bangladesh,2002,titanium ores and concentrates,Import,1046,471
Bangladesh,2003,titanium ores and concentrates,Import,1527,583
Bangladesh,2004,titanium ores and concentrates,Import,1264,442
Bangladesh,2005,titanium ores and concentrates,Import,609,622
Bangladesh,2006,titanium ores and concentrates,Import,1427,1071
Bangladesh,2007,titanium ores and concentrates,Import,830,583
Bangladesh,2008,titanium ores and concentrates,Import,829,756
Bangladesh,2009,titanium ores and concentrates,Import,1336,1244
Bangladesh,2010,titanium ores and concentrates,Import,1730,1546
Bangladesh,2011,titanium ores and concentrates,Import,2908,3853
Bangladesh,2012,titanium ores and concentrates,Import,1795,4193
Bangladesh,2013,titanium ores and concentrates,Import,1819,4539
Bangladesh,2014,titanium ores and concentrates,Import,0,0
Bangladesh,2015,titanium ores and concentrates,Import,2370,3748
Bangladesh,2016,titanium ores and concentrates,Import,0,0
Bangladesh,2017,titanium ores and concentrates,Import,0,0
Bangladesh,2018,titanium ores and concentrates,Import,0,0
Bangladesh,2019,titanium ores and concentrates,Import,0,0
Bangladesh,2020,titanium ores and concentrates,Import,0,0
Bangladesh,2021,titanium ores and concentrates,Import,0,0
Bangladesh,2022,titanium ores and concentrates,Import,0,0
Bangladesh,2023,titanium ores and concentrates,Import,0,0
Belarus,1992,titanium ores and concentrates,Export,0,0
Belarus,1993,titanium ores and concentrates,Export,0,0
Belarus,1994,titanium ores and concentrates,Export,0,0
Belarus,1995,titanium ores and concentrates,Export,0,0
